id,avg_R,avg_G,avg_B
0,16.21484375,55.1005859375,27.953125
1,39.751953125,79.703125,62.2802734375
2,18.6171875,58.9619140625,32.83984375
3,19.005859375,58.462890625,31.392578125
4,14.44140625,50.95703125,23.4892578125
5,12.7001953125,45.091796875,19.9599609375
6,29.0283203125,76.6728515625,63.376953125
7,16.0478515625,51.822265625,26.955078125
8,19.0322265625,56.6416015625,30.05078125
9,28.0751953125,75.10546875,57.6669921875
10,45.078125,98.0439453125,93.2744140625
11,27.01953125,72.5712890625,52.3544921875
12,13.4365234375,44.9599609375,20.189453125
13,36.4169921875,85.5986328125,75.978515625
14,14.185546875,49.2685546875,23.634765625
15,14.4296875,53.9052734375,27.1875
16,20.8720703125,63.537109375,39.5888671875
17,27.6787109375,75.2197265625,58.8447265625
18,20.2412109375,63.40234375,38.1416015625
19,16.9384765625,56.947265625,29.6787109375
20,14.328125,47.451171875,21.0400390625
21,21.05078125,59.5712890625,31.66015625
22,15.2724609375,50.576171875,24.0322265625
23,28.029296875,72.7158203125,53.587890625
24,24.1533203125,66.7353515625,44.677734375
25,17.4814453125,55.8447265625,28.7421875
26,38.791015625,78.9111328125,52.689453125
27,15.21875,49.076171875,24.33984375
28,15.529296875,51.69140625,24.4404296875
29,26.5205078125,71.154296875,53.7197265625
30,19.533203125,61.970703125,36.6650390625
31,19.11328125,55.8359375,29.34375
32,18.849609375,55.65234375,29.033203125
33,23.6015625,57.248046875,31.517578125
34,43.9462890625,85.64453125,76.9296875
35,15.2587890625,51.62109375,25.791015625
36,16.0986328125,51.8564453125,27.017578125
37,18.22265625,56.86328125,30.4072265625
38,15.9833984375,50.412109375,23.736328125
39,14.052734375,48.8486328125,23.052734375
40,19.3623046875,56.662109375,29.560546875
41,13.091796875,47.86328125,21.9658203125
42,34.763671875,80.484375,67.0244140625
43,33.1826171875,80.9462890625,67.224609375
44,13.0341796875,43.5869140625,19.1796875
45,14.3232421875,48.0107421875,20.8828125
46,14.5302734375,54.4609375,27.734375
47,29.078125,75.9814453125,60.3671875
48,27.705078125,72.6181640625,55.650390625
49,19.5498046875,61.5576171875,34.4951171875
50,15.5,50.056640625,25.171875
51,17.205078125,57.3955078125,30.79296875
52,22.3828125,66.4326171875,42.8056640625
53,25.09375,68.318359375,49.3935546875
54,13.806640625,48.474609375,23.0595703125
55,17.9716796875,51.3779296875,24.8984375
56,13.7646484375,44.9970703125,20.32421875
57,14.265625,48.734375,23.291015625
58,17.61328125,55.7392578125,29.6318359375
59,27.041015625,72.7578125,54.8330078125
60,13.5634765625,48.6005859375,21.873046875
61,21.408203125,63.591796875,38.158203125
62,23.01171875,61.162109375,33.728515625
63,18.248046875,55.9580078125,30.43359375
64,19.162109375,57.2353515625,29.1962890625
65,16.6298828125,52.0078125,27.0302734375
66,18.8076171875,58.7919921875,32.1259765625
67,17.20703125,52.9833984375,28.037109375
68,13.7119140625,48.8642578125,22.2841796875
69,27.376953125,72.6298828125,53.44140625
70,13.1689453125,47.85546875,22.201171875
71,16.052734375,57.7412109375,30.1669921875
72,13.4833984375,46.6083984375,20.9677734375
73,14.71875,52.796875,27.1923828125
74,22.3193359375,65.21875,43.0595703125
75,31.7919921875,77.4072265625,60.1728515625
76,17.3935546875,53.9287109375,29.0205078125
77,23.58984375,64.8564453125,41.1572265625
78,14.16015625,50.6484375,22.5439453125
79,19.423828125,58.7265625,33.2353515625
80,22.4404296875,66.296875,42.548828125
81,13.98828125,53.341796875,26.693359375
82,22.33984375,64.0419921875,38.5400390625
83,16.98828125,56.8701171875,30.412109375
84,12.90625,45.296875,20.099609375
85,16.197265625,52.71484375,27.240234375
86,15.8505859375,55.5166015625,28.412109375
87,26.720703125,71.5546875,52.4521484375
88,16.0234375,56.8662109375,28.087890625
89,14.861328125,49.97265625,24.0849609375
90,25.6533203125,69.140625,48.19921875
91,26.0791015625,64.4931640625,42.611328125
92,36.4697265625,85.8564453125,75.345703125
93,15.349609375,50.521484375,24.158203125
94,23.984375,66.982421875,46.5810546875
95,14.21875,49.6591796875,23.8525390625
96,15.9873046875,48.4892578125,22.876953125
97,35.7001953125,87.703125,78.7236328125
98,14.0283203125,48.580078125,22.2412109375
99,15.0556640625,52.201171875,25.2568359375
